@relation futbol
@attribute qEquiposLiga real
@attribute qEquiposMundial real
@attribute posLigaLocal real
@attribute puntosLocal real
@attribute plantillaLocal real
@attribute capacidadEstadioLocal real
@attribute posiciónRankingLocal real
@attribute rojasLocal real
@attribute golesFavorLocal real
@attribute golesEncajadosLocal real
@attribute partidosMesLocal real
@attribute promEdadLocal real
@attribute posLigaVisita real
@attribute puntosVisita real
@attribute plantillaVisita real
@attribute capacidadEstadioVisita real
@attribute posiciónRankingVisita real
@attribute rojasVisita real
@attribute golesFavorVisita real
@attribute golesEncajadosVisita real
@attribute partidosMesVisita real
@attribute promEdadVisita real
@attribute resultado {L, E, V}
@data
1.0000,0.9515,0.9474,0.7333,0.2195,0.7506,0.9953,1.0000,0.3636,0.1250,0.2308,0.2864,0.0526,0.4000,0.2424,0.3383,0.0979,1.0000,0.3043,0.4000,0.1667,0.6383,L
1.0000,0.9515,0.9474,0.7333,0.2195,0.7506,0.9953,1.0000,0.5909,0.1250,0.3077,0.2864,0.1053,0.2667,0.3333,0.2761,0.0979,1.0000,0.1304,0.3333,0.2500,0.6676,L
1.0000,0.9515,0.9474,1.0000,0.2195,0.7506,0.9977,1.0000,0.7727,0.1250,0.2308,0.2864,0.2632,0.5333,0.3030,0.2374,0.2494,1.0000,0.1739,0.2667,0.0833,0.5070,V
1.0000,0.9515,0.9474,0.8000,0.2195,0.7506,0.9977,1.0000,0.4545,0.1250,0.3077,0.2864,1.0000,1.0000,0.4545,1.0000,1.0000,1.0000,0.5217,0.2000,0.2500,0.3464,E
1.0000,0.9515,0.9474,0.6667,0.2195,0.7506,0.9977,1.0000,0.5000,0.2500,0.4615,0.2864,0.1579,0.4000,0.2424,0.3285,0.2960,0.5000,0.1739,0.4000,0.1667,0.5447,V
1.0000,0.9515,0.9474,0.4667,0.2195,0.7506,0.9977,1.0000,0.6818,0.6875,0.4615,0.2864,0.2105,0.4000,0.1818,0.2176,0.7389,1.0000,0.2174,0.4000,0.2500,0.4441,L
1.0000,0.9515,0.9474,0.6667,0.2195,0.7506,0.9977,1.0000,0.7273,0.4375,0.3846,0.2864,0.0000,0.2667,0.2121,0.1758,0.3217,1.0000,0.1304,0.3333,0.2500,0.4274,L
1.0000,0.9515,0.6842,0.4667,0.2195,0.3987,0.9441,1.0000,0.1818,0.3125,0.3077,0.4318,0.7895,0.3333,0.0909,0.5420,0.9883,0.5000,0.1739,0.3333,0.3333,0.3966,L
1.0000,0.9515,0.6842,0.6000,0.2195,0.3987,0.9441,1.0000,0.2273,0.3125,0.2308,0.4318,0.6316,0.4667,0.2121,0.4060,0.6317,1.0000,0.3913,0.5333,0.0833,0.3925,L
1.0000,0.9515,0.6316,0.8000,0.2195,0.3987,0.9464,0.5000,0.5909,0.5000,0.3077,0.4318,0.8421,0.5333,0.3030,0.5420,0.9720,1.0000,0.3913,0.2667,0.3333,0.5866,L
1.0000,0.9515,0.7895,0.8000,0.2195,0.3987,0.9464,0.5000,0.6364,0.4375,0.4615,0.4318,0.5263,0.5333,0.1515,0.2087,0.5734,1.0000,0.3913,0.4667,0.3333,0.4860,V
