@relation SISPPAFUT
@attribute qEquiposLiga numeric
@attribute mes numeric
@attribute Local_PosLiga numeric
@attribute Local_Pts numeric
@attribute Local {True, False}
@attribute Local_PosRankMund numeric
@attribute Local_qExpulsados numeric
@attribute Local_qSuspendidos numeric
@attribute Local_GolesAnotados numeric
@attribute Local_GolesEncajados numeric
@attribute Local_PromEdad real
@attribute Local_qPartidosMes numeric
@attribute Visita_PosLiga numeric
@attribute Visita_Pts numeric
@attribute Visita {True, False}
@attribute Visita_PosRankMund numeric
@attribute Visita_qExpulsados numeric
@attribute Visita_qSuspendidos numeric
@attribute Visita_GolesAnotados numeric
@attribute Visita_GolesEncajados numeric
@attribute Visita_PromEdad real
@attribute Visita_qPartidosMes numeric
@attribute resultado {L, E, V}
@data
20,11,2,15,True,1,0,1,21,2,28.82,4,1,15,False,9,0,0,17,3,27.45,4,L
20,12,11,4,True,55,0,2,5,10,28.18,4,6,10,False,208,0,0,8,5,29.36,4,L
20,12,3,8,True,37,0,0,10,6,29.64,4,8,6,False,39,0,1,6,11,30.36,4,L
20,12,19,2,True,343,0,2,3,13,28.36,4,20,5,False,343,1,1,6,9,28.82,4,E
20,12,2,12,True,11,1,1,11,7,27.45,4,5,8,False,20,0,3,6,5,31.09,4,L
20,12,12,6,True,258,0,0,5,8,31.82,4,1,15,False,3,0,1,24,2,28.82,4,V
20,0,9,9,True,343,0,0,9,8,28.45,4,10,9,False,258,0,1,7,9,27.27,4,L
20,12,4,10,True,258,0,2,7,5,26.64,4,18,2,False,343,0,1,3,7,29.00,4,L
20,12,15,3,True,343,0,1,6,9,30.09,4,8,7,False,4,0,2,10,8,28.91,4,L
20,12,12,10,True,314,0,1,8,2,28.64,4,13,6,False,343,0,1,6,11,31.55,4,L
20,12,17,3,True,343,0,2,2,8,29.27,4,16,7,False,193,0,1,6,5,28.73,4,L
20,12,7,7,True,55,0,1,8,7,28.18,4,3,10,False,37,0,1,10,5,29.64,4,L
20,12,11,6,True,39,0,1,6,7,30.36,4,18,2,False,343,0,2,3,13,28.36,4,V
20,12,20,5,True,343,0,1,6,9,28.82,4,2,12,False,11,0,2,10,6,27.45,4,V
20,12,5,7,True,20,1,2,5,6,31.09,4,15,6,False,258,0,0,4,7,31.82,4,E
20,12,1,15,True,3,0,1,22,2,28.82,4,9,9,False,343,0,0,9,7,28.45,4,L
20,12,8,6,True,258,0,2,4,11,27.27,4,4,13,False,258,1,3,8,2,26.64,4,L
20,12,19,1,True,343,0,1,2,7,29.00,4,16,6,False,343,0,1,7,7,30.09,4,E
20,12,6,6,True,4,0,2,9,9,28.91,4,13,10,False,314,0,0,6,2,28.64,4,L
20,12,12,6,True,343,0,0,5,9,31.55,4,17,6,False,343,0,1,5,7,29.27,4,L
20,12,10,7,True,208,1,0,6,7,29.36,4,14,4,False,193,0,1,3,8,28.73,4,V
20,12,3,7,True,37,0,3,6,5,29.64,4,10,7,False,208,0,0,4,5,29.36,4,L
20,12,18,4,True,343,0,0,5,13,28.36,4,7,10,False,55,2,1,8,4,28.18,4,V
20,12,2,12,True,11,0,2,11,7,27.45,4,11,3,False,39,1,0,5,10,30.36,4,L
20,12,15,4,True,258,0,1,4,10,31.82,4,20,2,False,343,0,1,4,10,28.82,4,E
20,12,9,6,True,343,0,0,8,12,28.45,4,4,8,False,20,0,2,8,7,31.09,4,V
20,12,5,10,True,258,0,2,8,4,26.64,4,1,15,False,3,0,1,24,1,28.82,4,V
20,12,16,7,True,343,0,2,7,6,30.09,4,8,9,False,258,0,3,5,8,27.27,4,V
20,12,13,7,True,314,0,0,4,3,28.64,4,19,1,False,343,0,2,2,7,29.00,4,E
20,12,17,6,True,343,0,1,6,10,29.27,4,6,9,False,4,0,2,11,7,28.91,4,V
20,12,14,7,True,193,0,1,4,7,28.73,4,12,9,False,343,0,4,9,7,31.55,4,E
20,1,3,10,True,37,0,2,8,3,29.73,3,19,4,False,343,0,0,7,15,28.36,3,L
20,1,7,13,True,55,0,3,11,4,28.18,3,2,12,False,11,1,3,11,7,27.45,3,V
