@relation SISPPAFUT
@attribute qEquiposLiga real
@attribute mes real
@attribute Local_PosLiga real
@attribute Local_Pts real
@attribute Local {True, False}
@attribute Local_PosRankMund real
@attribute Local_qExpulsados real
@attribute Local_qSuspendidos real
@attribute Local_GolesAnotados real
@attribute Local_GolesEncajados real
@attribute Local_PromEdad real
@attribute Local_qPartidosMes real
@attribute Visita_PosLiga real
@attribute Visita_Pts real
@attribute Visita {True, False}
@attribute Visita_PosRankMund real
@attribute Visita_qExpulsados real
@attribute Visita_qSuspendidos real
@attribute Visita_GolesAnotados real
@attribute Visita_GolesEncajados real
@attribute Visita_PromEdad real
@attribute Visita_qPartidosMes real
@attribute resultado {L, E, V}
@data
1,0.9091,0.5789,0.4667,True,0.5390,1,1,0.1923,0.4286,0.4533,0.6,0.2632,0.5333,False,0.1259,0.5,1,0.2083,0.2667,0.575,0.6,L
1,0.9091,0.4737,0.6,True,0.1259,1,1,0.2692,0.3571,0.3017,0.6,0.4211,0.4,False,0.5264,1,1,0.25,0.6667,0.3483,0.6,L
1,0.9091,0.7895,0.6,True,0.3199,1,0.8,0.1538,0.3571,0,0.6,0.1053,0.0667,False,0.1259,1,0.8,0.2083,0.8667,0.4383,0.6,L
1,0.9091,0,0.1333,True,0.1259,0.5,1,0.1538,0.5714,0.3633,0.6,0.6842,0.6667,False,0.5390,1,1,0.2917,0.2667,0.4533,0.6,L
1,0.9091,0.8947,0.7333,True,0.8892,0.5,1,0.3846,0.3571,0.5,0.6,0.5789,0.4,False,0.4887,1,1,0.4167,0.6667,0.105,0.6,L
1,0.9091,0.2105,0.4,True,0.1259,1,1,0.1923,0.2857,0.2867,0.6,0.2632,0.3333,False,0.1259,1,0.8,0.2083,0.5333,0.3933,0.6,E
1,0.9091,0.3684,0.3333,True,0.2972,1,0.8,0.1923,0.4286,0.8633,0.6,0.3158,0.3333,False,0.1259,1,1,0.25,0.6,0.8183,0.6,L
1,0.9091,0.1579,0.3333,True,0.1259,1,1,0.1923,0.4286,0.575,0.6,0.0526,0.2667,False,0.1436,1,0.8,0.1667,0.7333,0.3333,0.6,V
1,0.9091,0.5263,0.6,True,0.1259,1,1,0.2692,0.3571,0.2567,0.6,0.9474,0.8667,False,1,1,1,0.5417,0.2,0.3633,0.6,V
1,0.9091,1,0.8667,True,0.9798,1,1,0.7308,0.2857,0.135,0.6,0.7368,0.4667,False,0.9899,1,0.8,0.2083,0.4,0.3783,0.6,L
1,0.9091,0.6316,0.4,True,0.9421,0.5,1,0.2692,0.9286,0.62,0.6,0.8421,0.4667,False,0.9698,1,1,0.2917,0.4,0.7417,0.6,L
1,0.9091,0.5263,0.4,True,0.4887,0.5,0.6,0.3846,0.7857,0.105,0.8,0.2105,0.2667,False,0.1259,1,1,0.1667,0.3333,0.2867,0.8,L
1,0.9091,0.6316,0.2667,True,0.9899,1,0.8,0.1538,0.5714,0.3783,0.8,0.4211,0.5333,False,0.2972,1,0.8,0.3333,0.3333,0.8633,0.8,L
1,0.9091,0.9474,0.8667,True,1,0.5,0.8,0.5,0.2143,0.3633,0.8,0.8947,0.7333,False,0.8892,1,1,0.4583,0.2667,0.5,0.8,L
1,0.9091,0.0526,0.3333,True,0.1259,1,1,0.2692,0.6429,0.3633,0.8,0.7368,0.6,False,0.9421,1,1,0.375,0.7333,0.62,0.8,V
1,0.9091,0.1579,0.1333,True,0.1259,1,0.8,0.1538,0.8571,0.8183,0.8,0.6842,0.8,False,0.1259,1,1,0.3333,0.2,0.3017,0.8,L
1,0.9091,0.3158,0.4,True,0.5264,1,1,0.2308,0.7143,0.3483,0.8,0.8421,0.6,False,0.3199,1,0.8,0.1667,0.3333,0,0.8,E
1,0.9091,0,0.0667,True,0.1259,1,0.8,0.1154,0.7857,0.4383,0.8,0.1053,0.2667,False,0.1259,1,0.8,0.25,0.5333,0.575,0.8,L
1,0.9091,0.5789,0.4667,True,0.5390,1,1,0.2692,0.5,0.4533,0.8,0.2632,0.4667,False,0.1436,1,0.8,0.25,0.6667,0.3333,0.8,E
1,0.9091,0.3684,0.4,True,0.1259,1,0.8,0.2308,0.5,0.3933,0.8,1,1,False,0.9798,1,1,0.875,0.2667,0.135,0.8,V
1,0.9091,0.7895,0.2667,True,0.9698,0.5,1,0.1923,0.5714,0.7417,0.8,0.4737,0.4,False,0.1259,1,0.8,0.2917,0.5333,0.2567,0.8,L
1,0.9091,0.8947,0.5333,True,0.8892,1,0.8,0.3846,0.5,0.5,0.8,0.8421,0.2667,False,0.9698,1,0.8,0.2083,0.4667,0.7417,0.8,E
1,0.9091,0.1053,0.2,True,0.1259,1,1,0.1154,0.3571,0.2867,0.8,0.9474,1,False,1,1,0.8,0.625,0.2,0.3633,0.8,V
1,0.9091,1,1,True,0.9798,1,1,0.6154,0.2143,0.135,0.8,0.6316,0.6,False,0.4887,0,0.6,0.4167,0.6,0.105,0.8,L
1,0.9091,0.4211,0.4667,True,0.2972,0.5,0.8,0.2692,0.5,0.8633,0.8,0.1579,0.3333,False,0.1259,0.5,0.6,0.1667,0.4,0.3933,0.8,L
1,0.9091,0.7368,0.6667,True,0.3199,1,0.8,0.1538,0.2857,0,0.8,0.3684,0.3333,False,0.1259,1,0.8,0.25,0.6667,0.8183,0.8,L
1,0.9091,0.0526,0.2,True,0.1259,1,0.8,0.1923,0.5714,0.575,0.8,0.3158,0.4667,False,0.5264,1,1,0.25,0.5333,0.3483,0.8,L
1,0.9091,0.2632,0.5333,True,0.1436,1,0.8,0.1923,0.2857,0.3333,0.8,0.2105,0.2,False,0.1259,1,0.8,0.125,0.6667,0.4383,0.8,L
1,0.9091,0.7895,0.6,True,0.9421,0.5,1,0.3077,0.7857,0.62,0.8,0.5263,0.4667,False,0.5390,1,1,0.25,0.4,0.4533,0.8,V
1,0.9091,0.5789,0.6,True,0.1259,1,1,0.3077,0.3571,0.3017,0.8,0.6842,0.4667,False,0.9899,1,0.8,0.25,0.3333,0.3783,0.8,V
1,0.9091,0.4737,0.2,True,0.1259,1,0.8,0.1538,0.7143,0.2567,0.8,0,0.2667,False,0.1259,1,0.8,0.25,0.6,0.3633,0.8,E
1,0.9091,0,0.3333,True,0.1259,0.5,0.8,0.2308,0.5714,0.3633,0.8,0.8947,0.5333,False,0.8892,1,1,0.375,0.4,0.5,0.8,V
1,0.9091,0.6842,0.6,True,0.9421,1,1,0.3462,0.7857,0.62,0.8,0.4211,0.2667,False,0.1259,1,0.6,0.2083,0.6,0.2567,0.8,V
1,0.9091,0.7368,0.4667,True,0.9899,1,0.8,0.3077,0.5,0.3783,0.8,0.8421,0.6667,False,0.3199,1,1,0.25,0.2667,0,0.8,V
1,0.9091,0.1579,0.1333,True,0.1259,1,0.6,0.0769,0.5,0.3933,0.8,0.5789,0.6,False,0.1259,1,1,0.375,0.4667,0.3017,0.8,V
1,0.9091,0.3158,0.2667,True,0.1259,1,0.8,0.1538,0.7857,0.8183,0.8,0.2632,0.2,False,0.1259,1,0.8,0.25,0.5333,0.575,0.8,L
1,0.9091,0.2105,0.2667,True,0.5264,0.5,0.8,0.2308,0.7857,0.3483,0.8,0.3684,0.6667,False,0.1436,1,0.8,0.3333,0.2667,0.3333,0.8,L
1,0.9091,0.6316,0.6667,True,0.5390,1,1,0.3077,0.4286,0.4533,0.8,0.1053,0.2,False,0.1259,1,0.6,0.0833,0.6,0.4383,0.8,L
1,0.9091,0.5263,0.4,True,0.4887,1,0.6,0.3462,0.9286,0.105,0.8,0.4737,0.6,False,0.2972,1,1,0.3333,0.4667,0.8633,0.8,L
1,0.9091,0.7895,0.3333,True,0.9698,0.5,0.6,0.1923,0.4286,0.7417,0.8,0.0526,0.2,False,0.1259,1,0.8,0.125,0.8,0.2867,0.8,L
1,0.9091,0.9474,1,True,1,1,0.8,0.8077,0.1429,0.3633,0.8,1,1,False,0.9798,1,1,0.7083,0.2,0.135,0.8,L
1,1,0.4737,0.2667,True,0.8640,1,0.6,0.1923,0.7143,0.2567,0.8,0.7368,0.6667,False,0.4786,1,1,0.3333,0.3333,0.4533,0.8,L
1,1,0.8947,0.5333,True,0.9093,1,1,0.3846,0.4286,0.5,0.8,0.6316,0.4,False,0.9043,1,0.8,0.25,0.7333,0.62,0.8,L
1,1,0.0526,0.1333,True,0.1385,1,0.6,0.1154,0.9286,0.2867,0.8,0,0.3333,False,0.1385,0.5,0.8,0.25,0.6,0.3633,0.8,E
1,1,0.9474,0.8,True,0.9748,0.5,0.8,0.4231,0.5,0.135,0.8,0.7895,0.5333,False,0.9521,1,0.4,0.25,0.3333,0.7417,0.8,L
1,1,0.4211,0.4,True,0.3526,1,1,0.1923,0.5714,0.8633,0.8,1,1,False,0.9950,1,0.8,1,0.1333,0.3633,0.8,V
1,1,0.5789,0.6,True,0.1385,1,1,0.3462,0.5714,0.3017,0.8,0.5263,0.6,False,0.3526,1,0.8,0.2917,0.6,0.105,0.8,L
1,1,0.8421,0.6667,True,0.3526,1,0.6,0.2692,0.3571,0,0.8,0.1053,0.1333,False,0.1385,1,0.8,0.125,0.4667,0.3933,0.8,L
1,1,0.2632,0.2,True,0.1385,1,0.8,0.2308,0.6429,0.575,0.8,0.6316,0.4667,False,0.9924,1,0.6,0.4167,0.5333,0.3783,0.8,L
